name,10/31/2020,10/31/2019,10/31/2018,10/31/2017,10/31/2016,10/31/2015,10/31/2014,10/31/2013,10/31/2012,10/31/2011,10/31/2010,10/31/2009,10/31/2008,10/31/2007
TotalAssets,"75,933,000,000","67,493,000,000","50,124,000,000","54,418,000,000","49,966,000,000","10,592,000,000","10,491,000,000","3,415,000,000","2,862,000,000","2,446,000,000","2,157,000,000","1,970,000,000","1,871,000,000","1,951,000,000"
	CurrentAssets,"11,895,000,000","9,917,000,000","9,107,000,000","15,823,000,000","7,125,000,000","3,775,000,000","3,835,000,000","1,818,000,000","1,691,000,000","1,393,000,000","1,087,000,000","864,000,000","619,000,000","717,000,000"
		CashCashEquivalentsAndShortTermInvestments,"7,618,000,000","5,055,000,000","4,292,000,000","11,204,000,000","3,097,000,000","1,822,000,000","1,604,000,000","999,000,000","1,084,000,000","829,000,000","561,000,000","472,000,000","213,000,000","309,000,000"
			CashAndCashEquivalents,"7,618,000,000","5,055,000,000","4,292,000,000","11,204,000,000","3,097,000,000","1,822,000,000","1,604,000,000","985,000,000","1,084,000,000","829,000,000","561,000,000","472,000,000","213,000,000","309,000,000"
			OtherShortTermInvestments,,,,,,,,"14,000,000",,,,,,
		Receivables,"2,297,000,000","3,259,000,000","3,390,000,000","2,448,000,000","2,181,000,000","1,019,000,000","782,000,000","437,000,000","341,000,000","328,000,000","285,000,000","186,000,000","184,000,000","218,000,000"
			AccountsReceivable,"2,297,000,000","3,259,000,000","3,325,000,000","2,448,000,000","2,181,000,000","1,019,000,000","782,000,000","418,000,000","341,000,000","328,000,000","285,000,000","186,000,000","184,000,000","218,000,000"
				GrossAccountsReceivable,"2,471,000,000","3,437,000,000",,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-174,000,000","-178,000,000",,,,,,,,,,,,
			TaxesReceivable,,,,,,,,"4,000,000",,,,,,
			OtherReceivables,,,"65,000,000",,,,,"15,000,000",,,,,,
		Inventory,"1,003,000,000","874,000,000","1,124,000,000","1,447,000,000","1,400,000,000","524,000,000","519,000,000","285,000,000","194,000,000","194,000,000","189,000,000","162,000,000","188,000,000","140,000,000"
			RawMaterials,"122,000,000","121,000,000","136,000,000","189,000,000","373,000,000","76,000,000","84,000,000","78,000,000","53,000,000","40,000,000","32,000,000","22,000,000",,
			WorkInProcess,"558,000,000","414,000,000","505,000,000","696,000,000","596,000,000","271,000,000","250,000,000","154,000,000","99,000,000","106,000,000","96,000,000","70,000,000",,
			FinishedGoods,"323,000,000","339,000,000","483,000,000","562,000,000","431,000,000","177,000,000","185,000,000","53,000,000","42,000,000","48,000,000","61,000,000","70,000,000",,
		PrepaidAssets,"387,000,000","302,000,000","243,000,000",,,,,"48,000,000",,,,,,
		CurrentDeferredAssets,,,,,,,,"41,000,000",,,,,,
			CurrentDeferredTaxesAssets,,,,,,,,"32,000,000",,,,,,
		AssetsHeldForSaleCurrent,,,,,,"22,000,000","628,000,000",,,,,,,
		OtherCurrentAssets,"590,000,000","427,000,000","58,000,000","724,000,000","447,000,000","388,000,000","302,000,000","8,000,000","72,000,000","42,000,000","52,000,000","44,000,000","34,000,000","50,000,000"
	TotalNonCurrentAssets,"64,038,000,000","57,576,000,000","41,017,000,000","38,595,000,000","42,841,000,000","6,817,000,000","6,656,000,000","1,597,000,000","1,171,000,000","1,053,000,000","1,070,000,000","1,106,000,000","1,252,000,000","1,234,000,000"
		NetPPE,"2,509,000,000","2,565,000,000","2,635,000,000","2,599,000,000","2,509,000,000","1,460,000,000","1,158,000,000","661,000,000","503,000,000","316,000,000","281,000,000","264,000,000","299,000,000","292,000,000"
			GrossPPE,"5,331,000,000","4,896,000,000","4,529,000,000","4,092,000,000","3,638,000,000","2,236,000,000","1,851,000,000","1,232,000,000","988,000,000","737,000,000","640,000,000","558,000,000",,
				Properties,"0","0","0","0","0","0","0","0","0","0","0","0",,
				LandAndImprovements,"194,000,000","189,000,000","189,000,000","177,000,000","268,000,000","37,000,000","37,000,000","12,000,000","11,000,000","11,000,000","11,000,000","11,000,000",,
				BuildingsAndImprovements,"1,133,000,000","1,078,000,000","1,016,000,000","579,000,000","534,000,000","419,000,000","300,000,000","182,000,000","158,000,000","133,000,000","130,000,000","128,000,000",,
				MachineryFurnitureEquipment,"3,891,000,000","3,544,000,000","3,257,000,000","2,925,000,000","2,475,000,000","1,627,000,000","1,316,000,000","955,000,000","692,000,000","593,000,000","499,000,000","419,000,000",,
				ConstructionInProgress,"113,000,000","85,000,000","67,000,000","411,000,000","361,000,000","153,000,000","198,000,000","83,000,000","127,000,000",,,,,
			AccumulatedDepreciation,"-2,822,000,000","-2,331,000,000","-1,894,000,000","-1,493,000,000","-1,129,000,000","-776,000,000","-693,000,000","-571,000,000","-485,000,000","-421,000,000","-359,000,000","-294,000,000",,
		GoodwillAndOtherIntangibleAssets,"60,229,000,000","54,268,000,000","37,675,000,000","35,538,000,000","39,800,000,000","4,951,000,000","5,213,000,000","883,000,000","602,000,000","676,000,000","745,000,000","818,000,000","890,000,000","899,000,000"
			Goodwill,"43,447,000,000","36,714,000,000","26,913,000,000","24,706,000,000","24,732,000,000","1,674,000,000","1,596,000,000","391,000,000","180,000,000","177,000,000","172,000,000","171,000,000","169,000,000","122,000,000"
			OtherIntangibleAssets,"16,782,000,000","17,554,000,000","10,762,000,000","10,832,000,000","15,068,000,000","3,277,000,000","3,617,000,000","492,000,000","422,000,000","499,000,000","573,000,000","647,000,000","721,000,000","777,000,000"
		OtherNonCurrentAssets,"1,300,000,000","743,000,000","707,000,000","458,000,000","532,000,000","406,000,000","285,000,000","53,000,000","66,000,000","61,000,000","44,000,000","24,000,000","63,000,000","43,000,000"
TotalLiabilitiesNetMinorityInterest,"52,032,000,000","42,523,000,000","23,467,000,000","31,232,000,000","28,090,000,000","5,878,000,000","7,248,000,000","529,000,000","443,000,000","440,000,000","652,000,000","930,000,000","1,091,000,000","1,258,000,000"
	CurrentLiabilities,"6,371,000,000","6,899,000,000","2,338,000,000","2,529,000,000","3,078,000,000","1,119,000,000","1,016,000,000","423,000,000","346,000,000","350,000,000","565,000,000","633,000,000","328,000,000","321,000,000"
		PayablesAndAccruedExpenses,"1,276,000,000","1,393,000,000","1,299,000,000","1,488,000,000","1,261,000,000","696,000,000","572,000,000","308,000,000","269,000,000","249,000,000","292,000,000","179,000,000","206,000,000","228,000,000"
			Payables,"1,276,000,000","1,084,000,000","973,000,000","1,228,000,000","1,261,000,000","696,000,000","572,000,000","303,000,000","264,000,000","231,000,000","198,000,000","154,000,000","174,000,000","194,000,000"
				AccountsPayable,"836,000,000","855,000,000","811,000,000","1,105,000,000","1,261,000,000","617,000,000","515,000,000","278,000,000","248,000,000","221,000,000","198,000,000","154,000,000","174,000,000","194,000,000"
				TotalTaxPayable,"440,000,000","229,000,000","162,000,000","123,000,000",,"79,000,000","57,000,000","15,000,000","16,000,000","10,000,000",,,,
				DividendsPayable,,"29,000,000",,,,,,,,,,,,
				OtherPayable,,,,,,,,"10,000,000",,,,,,
			CurrentAccruedExpenses,,"309,000,000","326,000,000","260,000,000",,,,"5,000,000","5,000,000","18,000,000","94,000,000","25,000,000","32,000,000","34,000,000"
				InterestPayable,,"214,000,000","165,000,000","136,000,000",,,,,,"0","12,000,000","25,000,000","32,000,000","34,000,000"
		PensionandOtherPostRetirementBenefitPlansCurrent,"877,000,000","641,000,000","715,000,000","626,000,000","517,000,000","250,000,000","219,000,000","98,000,000","61,000,000","89,000,000",,,,
		CurrentDebtAndCapitalLeaseObligation,"827,000,000","2,787,000,000",,"117,000,000","454,000,000","46,000,000","46,000,000","1,000,000","1,000,000","2,000,000","232,000,000","366,000,000","2,000,000","2,000,000"
			CurrentDebt,"827,000,000","2,787,000,000",,"117,000,000","454,000,000","46,000,000","46,000,000",,,,"230,000,000","364,000,000",,
				OtherCurrentBorrowings,,,,,,,,,,,"230,000,000","364,000,000",,
			CurrentCapitalLeaseObligation,,,,,,,,"1,000,000","1,000,000","2,000,000","2,000,000","2,000,000","2,000,000","2,000,000"
		CurrentDeferredLiabilities,"2,620,000,000","1,501,000,000","164,000,000",,,,,"11,000,000","8,000,000","10,000,000",,,,
			CurrentDeferredRevenue,"2,620,000,000","1,501,000,000","164,000,000",,,,,"11,000,000","8,000,000","10,000,000",,,,
		OtherCurrentLiabilities,"771,000,000","577,000,000","160,000,000","298,000,000","846,000,000","127,000,000","179,000,000","5,000,000","7,000,000","38,000,000","41,000,000","88,000,000","120,000,000","91,000,000"
	TotalNonCurrentLiabilitiesNetMinorityInterest,"45,661,000,000","35,624,000,000","21,129,000,000","28,703,000,000","25,012,000,000","4,759,000,000","6,232,000,000","106,000,000","97,000,000","90,000,000","87,000,000","297,000,000","763,000,000","937,000,000"
		LongTermDebtAndCapitalLeaseObligation,"40,235,000,000","30,011,000,000","17,493,000,000","17,431,000,000","13,188,000,000","3,903,000,000","5,463,000,000","1,000,000","2,000,000","4,000,000","4,000,000","233,000,000","708,000,000","907,000,000"
			LongTermDebt,"40,235,000,000","30,011,000,000","17,493,000,000","17,431,000,000","13,188,000,000","3,903,000,000","5,463,000,000",,,,,"230,000,000","703,000,000","903,000,000"
			LongTermCapitalLeaseObligation,,,,,,,,"1,000,000","2,000,000","4,000,000","4,000,000","3,000,000","5,000,000","4,000,000"
		NonCurrentDeferredLiabilities,"823,000,000",,"169,000,000","10,019,000,000","10,287,000,000",,,,,,,,,
			NonCurrentDeferredTaxesLiabilities,,,"169,000,000","10,019,000,000","10,287,000,000",,,,,,,,,
			NonCurrentDeferredRevenue,"823,000,000",,,,,,,,,,,,,
		TradeandOtherPayablesNonCurrent,,"116,000,000","116,000,000",,,"326,000,000",,,,,,,,
		EmployeeBenefits,,,,"112,000,000","531,000,000","475,000,000","506,000,000",,,,,,,
			NonCurrentPensionAndOtherPostretirementBenefitPlans,,,,"112,000,000","531,000,000","475,000,000","506,000,000",,,,,,,
		OtherNonCurrentLiabilities,"4,603,000,000","5,497,000,000","3,351,000,000","1,141,000,000","1,006,000,000","55,000,000","263,000,000","105,000,000","95,000,000","86,000,000","83,000,000","64,000,000","55,000,000","30,000,000"
TotalEquityGrossMinorityInterest,"23,901,000,000","24,970,000,000","26,657,000,000","23,186,000,000","21,876,000,000","4,714,000,000","3,243,000,000","2,886,000,000","2,419,000,000","2,006,000,000","1,505,000,000","1,040,000,000","780,000,000","693,000,000"
	StockholdersEquity,"23,901,000,000","24,970,000,000","26,657,000,000","20,285,000,000","18,892,000,000","4,714,000,000","3,243,000,000","2,886,000,000","2,419,000,000","2,006,000,000","1,505,000,000","1,040,000,000","780,000,000","693,000,000"
		CapitalStock,"27,000,000","29,000,000","23,285,000,000","20,505,000,000","19,241,000,000","2,547,000,000","2,009,000,000","1,587,000,000","0","0","0","0","0","0"
			PreferredStock,"27,000,000","29,000,000",,,"0",,,,,,,,,
			CommonStock,"0","0","23,285,000,000","20,505,000,000","19,241,000,000","2,547,000,000","2,009,000,000","1,587,000,000","0","0","0","0","0","0"
		AdditionalPaidInCapital,"23,982,000,000","25,081,000,000",,"20,505,000,000","19,241,000,000","2,547,000,000","2,009,000,000","1,587,000,000","1,479,000,000","1,479,000,000","1,450,000,000","1,393,000,000","1,084,000,000","1,075,000,000"
		RetainedEarnings,"0","0","3,487,000,000","-129,000,000","-215,000,000","2,240,000,000","1,284,000,000","1,305,000,000","951,000,000","525,000,000","59,000,000","-356,000,000","-312,000,000","-386,000,000"
		GainsLossesNotAffectingRetainedEarnings,"-108,000,000","-140,000,000","-115,000,000","-91,000,000","-134,000,000","-73,000,000","-50,000,000","-6,000,000","-11,000,000","2,000,000","-4,000,000","3,000,000","8,000,000","4,000,000"
	MinorityInterest,,,"0","2,901,000,000","2,984,000,000",,,,,,,,,
TotalCapitalization,"64,136,000,000","54,981,000,000","44,150,000,000","37,716,000,000","32,080,000,000","8,617,000,000","8,706,000,000","2,886,000,000","2,419,000,000","2,006,000,000","1,505,000,000","1,270,000,000","1,483,000,000","1,596,000,000"
PreferredStockEquity,"27,000,000","29,000,000",,,,,,,,,,,,
CommonStockEquity,"23,874,000,000","24,941,000,000","26,657,000,000","20,285,000,000","18,892,000,000","4,714,000,000","3,243,000,000","2,886,000,000","2,419,000,000","2,006,000,000","1,505,000,000","1,040,000,000","780,000,000","693,000,000"
CapitalLeaseObligations,,,,,,,,"2,000,000","3,000,000","6,000,000","6,000,000","5,000,000","7,000,000","6,000,000"
NetTangibleAssets,"-36,328,000,000","-29,298,000,000","-11,018,000,000","-15,253,000,000","-20,908,000,000","-237,000,000","-1,970,000,000","2,003,000,000","1,817,000,000","1,330,000,000","760,000,000","222,000,000","-110,000,000","-206,000,000"
WorkingCapital,"5,524,000,000","3,018,000,000","6,769,000,000","13,294,000,000","4,047,000,000","2,656,000,000","2,819,000,000","1,395,000,000","1,345,000,000","1,043,000,000","522,000,000","231,000,000","291,000,000","396,000,000"
InvestedCapital,"64,936,000,000","57,739,000,000","44,150,000,000","37,833,000,000","32,534,000,000","8,663,000,000","8,752,000,000","2,886,000,000","2,419,000,000","2,006,000,000","1,735,000,000","1,634,000,000","1,483,000,000","1,596,000,000"
TangibleBookValue,"-36,355,000,000","-29,327,000,000","-11,018,000,000","-15,253,000,000","-20,908,000,000","-237,000,000","-1,970,000,000","2,003,000,000","1,817,000,000","1,330,000,000","760,000,000","222,000,000","-110,000,000","-206,000,000"
TotalDebt,"41,062,000,000","32,798,000,000","17,493,000,000","17,548,000,000","13,642,000,000","3,949,000,000","5,509,000,000","2,000,000","3,000,000","6,000,000","236,000,000","599,000,000","710,000,000","909,000,000"
NetDebt,"33,444,000,000","27,743,000,000","13,201,000,000","6,344,000,000","10,545,000,000","2,127,000,000","3,905,000,000",,,,,"122,000,000","490,000,000","594,000,000"
ShareIssued,"407,000,000","398,000,000","408,000,000","408,732,155","398,281,461","276,259,120","254,330,630","249,100,178","245,477,491","245,962,320","239,888,231","235,392,897","235,392,897","235,392,897"
OrdinarySharesNumber,"407,000,000","398,000,000","408,000,000","408,732,155","398,281,461","276,259,120","254,330,630","249,100,178","245,477,491","245,962,320","239,888,231","235,392,897","235,392,897","235,392,897"
PreferredSharesNumber,"4,000,000",,,,,,,,,,,,,