name,ttm,03/31/2020,03/31/2019,03/31/2018,03/31/2017,03/31/2016,03/31/2015,03/31/2014,03/31/2013,03/31/2012,03/31/2011,03/31/2010,03/31/2009,03/31/2008,03/31/2007,03/31/2006,03/31/2005,03/31/2004,03/31/2003,03/31/2002,03/31/2001,03/31/2000,03/31/1999,03/31/1998,03/31/1997,03/31/1996,03/31/1995,03/31/1994,03/31/1993,03/31/1992,03/31/1991,03/31/1990,03/31/1989
TotalRevenue,"3,052,781,000","3,162,666,000","3,059,040,000","2,539,004,000","2,349,330,000","2,213,881,000","2,377,344,000","2,382,531,000","2,168,652,000","2,240,736,000","2,369,445,000","1,833,554,000","1,825,184,000","1,841,372,000","1,842,739,000","1,726,250,000","1,573,233,000","1,397,846,000","1,155,977,000","1,015,579,000","1,659,358,000","1,020,993,000","661,983,000","613,593,000","568,143,000","560,802,000","355,100,000","256,400,000","178,000,000","135,800,000","97,600,000","49,900,000","30,400,000"
	OperatingRevenue,"3,052,781,000","3,162,666,000","3,059,040,000","2,539,004,000","2,349,330,000","2,213,881,000","2,377,344,000","2,382,531,000","2,168,652,000","2,240,736,000","2,369,445,000","1,833,554,000","1,825,184,000","1,841,372,000","1,842,739,000","1,726,250,000","1,573,233,000","1,397,846,000","1,155,977,000","1,015,579,000","1,659,358,000","1,020,993,000","661,983,000","613,593,000","568,143,000","560,802,000","355,100,000","256,400,000","178,000,000","135,800,000","97,600,000","49,900,000","30,400,000"
CostOfRevenue,"941,755,000","1,047,630,000","955,868,000","756,368,000","708,216,000","671,907,000","708,823,000","743,253,000","737,206,000","786,078,000","819,558,000","671,803,000","669,151,000","686,988,000","718,643,000","657,119,000","576,284,000","529,968,000","473,551,000","557,884,000","679,402,000","384,038,000","251,266,000","230,690,000","214,337,000","203,192,000","126,300,000","88,000,000","60,700,000","49,900,000","35,200,000","18,000,000","9,500,000"
GrossProfit,"2,111,026,000","2,115,036,000","2,103,172,000","1,782,636,000","1,641,114,000","1,541,974,000","1,668,521,000","1,639,278,000","1,431,446,000","1,454,658,000","1,549,887,000","1,161,751,000","1,156,033,000","1,154,384,000","1,124,096,000","1,069,131,000","996,949,000","867,878,000","682,426,000","457,695,000","979,956,000","636,955,000","410,717,000","382,903,000","353,806,000","357,610,000","228,800,000","168,400,000","117,300,000","85,900,000","62,400,000","31,900,000","20,900,000"
OperatingExpense,"1,351,278,000","1,294,786,000","1,146,373,000","1,004,231,000","941,720,000","872,093,000","888,952,000","880,941,000","850,714,000","808,116,000","744,142,000","699,538,000","704,492,000","730,190,000","776,329,000","652,569,000","624,909,000","533,774,000","526,757,000","501,845,000","505,203,000","310,203,000","228,743,000","209,035,000","194,745,000","191,854,000","134,300,000","103,200,000","75,700,000","55,800,000","39,800,000","23,100,000","16,500,000"
	SellingGeneralAndAdministration,"459,552,000","432,308,000","398,416,000","362,329,000","335,150,000","331,652,000","353,670,000","378,607,000","365,684,000","365,272,000","350,626,000","327,560,000","343,768,000","365,325,000","377,719,000","316,302,000","303,595,000","266,664,000","235,347,000","228,759,000","274,093,000","186,619,000","134,250,000","128,579,000","118,670,000","107,888,000","122,100,000","92,400,000","67,100,000","50,200,000","36,700,000","21,700,000","15,300,000"
	ResearchAndDevelopment,"879,744,000","853,589,000","743,027,000","639,750,000","601,443,000","533,891,000","525,745,000","492,447,000","475,522,000","435,276,000","392,482,000","369,485,000","355,392,000","358,063,000","388,101,000","326,126,000","307,448,000","247,609,000","222,139,000","204,752,000","213,195,000","123,584,000","94,493,000","80,456,000","71,075,000","64,600,000",,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,"11,982,000","8,889,000","4,930,000","2,152,000","5,127,000","6,550,000","9,537,000","9,887,000","9,508,000","7,568,000","1,034,000","2,493,000","5,332,000","6,802,000","8,009,000","6,976,000","6,668,000","9,725,000","14,580,000","42,998,000","17,915,000",,,,,,"12,200,000","10,800,000","8,600,000","5,600,000","3,100,000","1,400,000","1,200,000"
		DepreciationAndAmortizationInIncomeStatement,"11,982,000","8,889,000","4,930,000","2,152,000","5,127,000","6,550,000","9,537,000","9,887,000","9,508,000","7,568,000","1,034,000","2,493,000","5,332,000","6,802,000","8,009,000","6,976,000","6,668,000","9,725,000","14,580,000","42,998,000","17,915,000",,,,,,"12,200,000","10,800,000","8,600,000","5,600,000","3,100,000","1,400,000","1,200,000"
			Amortization,"11,982,000","8,889,000","4,930,000","2,152,000","5,127,000","6,550,000","9,537,000","9,887,000","9,508,000","7,568,000","1,034,000","2,493,000","5,332,000","6,802,000","8,009,000","6,976,000","6,668,000","9,725,000","14,580,000","42,998,000","17,915,000",,,,,,,,,,,,
				AmortizationOfIntangiblesIncomeStatement,"11,982,000","8,889,000","4,930,000","2,152,000","5,127,000","6,550,000","9,537,000","9,887,000","9,508,000","7,568,000","1,034,000","2,493,000","5,332,000","6,802,000","8,009,000","6,976,000","6,668,000","9,725,000","14,580,000","42,998,000","17,915,000",,,,,,,,,,,,
	OtherOperatingExpenses,,,,,,,,,,,,,,,"2,500,000","3,165,000","7,198,000","9,776,000","54,691,000","25,336,000",,,,,"5,000,000","19,366,000",,,,,,,
OperatingIncome,"759,748,000","820,250,000","956,799,000","778,405,000","699,394,000","669,881,000","779,569,000","758,337,000","580,732,000","646,542,000","805,745,000","462,213,000","451,541,000","424,194,000","347,767,000","416,562,000","372,040,000","334,104,000","155,669,000","-44,150,000","474,753,000","326,752,000","181,974,000","173,868,000","159,061,000","165,756,000","94,500,000","65,200,000","41,600,000","30,100,000","22,600,000","8,800,000","4,400,000"
NetNonOperatingInterestIncomeExpense,"-30,649,000","12,642,000","24,412,000","12,767,000","-2,832,000","-15,276,000","-19,555,000","-25,956,000","-29,495,000","-30,879,000","-26,288,000","-7,207,000","18,609,000",,,,,,,,,,,,,,,,,,,,
	InterestIncomeNonOperating,"19,027,000","52,462,000","77,295,000","58,604,000","51,121,000","40,180,000","35,876,000","28,079,000","25,574,000","23,697,000","18,427,000","18,782,000","47,556,000",,,,,,,,,,,,,,,,,,,,
	InterestExpenseNonOperating,"49,676,000","39,820,000","52,883,000","45,837,000","53,953,000","55,456,000","55,431,000","54,035,000","55,069,000","54,576,000","44,715,000","25,989,000","28,947,000",,,,,,,,,,,,,,,,,,,,
	TotalOtherFinanceCost,,"-42,096,000","-11,533,000","-5,357,000","8,314,000","33,056,000","15,002,000","29,553,000","33,726,000",,"18,415,000","6,579,000",,,,,,,,,,,,,,,,,,,,,
OtherIncomeExpense,"-5,210,000","1,092,000","-12,879,000","-40,761,000","-5,482,000","-17,780,000","-19,938,000","-22,855,000","-4,231,000","-18,612,000","-8,377,000","-33,241,000","28,034,000","-12,121,000","-4,450,000","-9,083,000","-10,297,000","-16,745,000","-65,116,000","-197,788,000","-452,824,000","676,352,000","-5,236,000","2,719,000","-5,000,000","-19,366,000","10,600,000","2,800,000","2,700,000","4,300,000","3,600,000","800,000","600,000"
	EarningsFromEquityInterest,,,,,,,,,,,,"0",,,,,,,,,,"6,184,000","-5,236,000","2,719,000",,,,,,,,,
	SpecialIncomeCharges,,"-28,362,000","0","-33,351,000","0","0","-24,491,000","-19,258,000","0","-18,612,000","-8,377,000","-33,241,000","28,034,000","-12,121,000","-4,450,000","-9,083,000","-10,297,000","-16,745,000","-65,116,000","-197,788,000","-452,824,000","670,168,000",,,"-5,000,000","-19,366,000","10,600,000","2,800,000","2,700,000","4,300,000","3,600,000","800,000","600,000"
		RestructuringAndMergernAcquisition,,"28,362,000","0","33,351,000","0","0","24,491,000","0","0","3,369,000","10,346,000","30,064,000","22,023,000",,,,,,,,,,,,,,,,,,,,
		ImpairmentOfCapitalAssets,,,,,,,,,,"0","5,904,000","3,805,000","54,129,000",,,,,,,,,,,,,,,,,,,,
		OtherSpecialCharges,,,,,,,,"19,258,000",,"15,243,000","-7,873,000","-628,000","-104,186,000",,,,,,,,,,,,,,,,,,,,
	OtherNonOperatingIncomeExpenses,"23,152,000","29,454,000","-12,879,000","-7,410,000","-5,482,000","-17,780,000","4,553,000","-3,597,000","-4,231,000",,,,,,,,,,,,,,,,,,,,,,,,
PretaxIncome,"723,889,000","833,984,000","968,332,000","750,411,000","691,080,000","636,825,000","740,076,000","709,526,000","547,006,000","597,051,000","771,080,000","421,765,000","498,184,000","474,094,000","431,146,000","456,602,000","400,544,000","350,544,000","169,872,000","-192,954,000","61,103,000","1,030,456,000","184,163,000","183,315,000","165,758,000","170,902,000","94,900,000","67,500,000","43,600,000","33,800,000","25,700,000","9,400,000","4,900,000"
TaxProvision,"103,006,000","41,263,000","78,582,000","238,030,000","68,568,000","85,958,000","91,860,000","79,138,000","59,470,000","66,972,000","129,205,000","64,281,000","122,544,000","100,047,000","80,474,000","102,453,000","87,821,000","47,555,000","44,167,000","-79,347,000","25,845,000","378,006,000","54,925,000","56,728,000","55,382,000","69,448,000","35,600,000","26,200,000","16,400,000","12,500,000","9,800,000","3,300,000","2,000,000"
NetIncomeCommonStockholders,"620,883,000","792,721,000","889,750,000","512,381,000","622,512,000","550,867,000","648,216,000","630,388,000","487,536,000","530,079,000","641,875,000","357,484,000","375,640,000","374,047,000","350,672,000","354,149,000","312,723,000","302,989,000","125,705,000","-113,607,000","35,258,000","652,450,000","102,592,000","126,587,000","110,376,000","101,454,000","59,300,000","41,300,000","27,200,000","21,300,000","15,900,000","6,100,000","2,900,000"
	NetIncome,"620,883,000","792,721,000","889,750,000","512,381,000","622,512,000","550,867,000","648,216,000","630,388,000","487,536,000","530,079,000","641,875,000","357,484,000","375,640,000","374,047,000","350,672,000","354,149,000","312,723,000","302,989,000","125,705,000","-113,607,000","35,258,000","652,450,000","102,592,000","126,587,000","110,376,000","101,454,000","59,300,000","41,300,000","27,200,000","21,300,000","15,900,000","6,100,000","2,900,000"
		NetIncomeIncludingNoncontrollingInterests,"620,883,000","792,721,000","889,750,000","512,381,000","622,512,000","550,867,000","648,216,000","630,388,000","487,536,000","530,079,000","641,875,000","357,484,000","375,640,000","374,047,000","350,672,000","354,149,000","312,723,000","302,989,000","125,705,000","-113,607,000","35,258,000","652,450,000","102,592,000","126,587,000","110,376,000","101,454,000","59,300,000","41,300,000","27,200,000","21,300,000","15,900,000","6,100,000","2,900,000"
			NetIncomeContinuousOperations,"620,883,000","792,721,000","889,750,000","512,381,000","622,512,000","550,867,000","648,216,000","630,388,000","487,536,000","530,079,000","641,875,000","357,484,000","375,640,000","374,047,000","350,672,000","354,149,000","312,723,000","302,989,000","125,705,000","-113,607,000","35,258,000","652,450,000","129,238,000","126,587,000","110,376,000","101,454,000","59,300,000","41,300,000","27,200,000","21,300,000","15,900,000","6,100,000","2,900,000"
			NetIncomeExtraordinary,,,,,,,,,,,,,,,,,,,,,,,"-26,646,000",,,,,,,,,,
DilutedNIAvailtoComStockholders,"620,883,000","792,721,000","889,750,000","512,381,000","622,512,000","550,867,000","648,216,000","630,388,000","487,536,000","530,079,000","641,875,000","357,484,000","375,640,000","374,047,000","350,672,000","354,149,000","312,723,000","302,989,000","125,705,000","-113,607,000","35,258,000","652,450,000","102,592,000","126,587,000","110,376,000","101,454,000","59,300,000","41,300,000","27,200,000","21,300,000","15,900,000","6,100,000","2,900,000"
BasicEPS,,"3.15","3.52","1.86","2.47","2.14","2.44","2.37","1.86","2.05","2.43","1.3","1.36","1.27","1.04","1.01","0.9","0.89","0.37","-0.34","0.11","2.06","0.35","0.43","0.348","0.32","0.22","0.16","0.1","0.08","0.06","0.03","0.02"
DilutedEPS,,"3.11","3.47","1.8","2.32","2.05","2.35","2.19","1.79","1.99","2.39","1.29","1.36","1.25","1.02","1","0.87","0.85","0.36","-0.34","0.1","1.9","0.335","0.395","0.348","0.32","0.2","0.15","0.1","0.08","0.06","0.03","0.02"
BasicAverageShares,,"251,732,000","252,762,000","249,595,000","252,301,000","257,184,000","265,480,000","266,431,000","261,652,000","263,783,000","264,094,000","276,012,000","276,113,000","295,050,000","337,920,000","349,026,000","347,810,000","341,427,000","337,069,000","333,556,000","328,196,000","316,724,000","292,844,000","294,964,000","318,700,000","315,820,000","269,545,455","258,125,000","272,000,000","266,250,000","265,000,000","203,333,333","145,000,000"
DilutedAverageShares,,"254,943,000","256,434,000","257,960,000","268,813,000","268,667,000","276,123,000","287,396,000","272,573,000","272,157,000","268,061,000","276,953,000","276,854,000","298,636,000","343,636,000","355,065,000","358,230,000","354,551,000","348,622,000","333,556,000","353,345,000","343,479,000","308,620,000","320,040,000","318,700,000","315,820,000","296,500,000","275,333,333","272,000,000","266,250,000","265,000,000","203,333,333","145,000,000"
TotalOperatingIncomeAsReported,"731,386,000","791,888,000","956,799,000","745,054,000","699,394,000","669,881,000","755,078,000","748,927,000","580,732,000","627,773,000","795,399,000","432,149,000","429,518,000","424,194,000","347,767,000","412,062,000","372,040,000","327,135,000","155,669,000","-44,150,000","384,053,000","322,192,000","181,974,000","173,868,000","159,061,000","165,756,000","94,500,000","65,200,000","41,600,000","30,100,000","22,600,000","8,800,000","4,400,000"
TotalExpenses,"2,293,033,000","2,342,416,000","2,102,241,000","1,760,599,000","1,649,936,000","1,544,000,000","1,597,775,000","1,624,194,000","1,587,920,000","1,594,194,000","1,563,700,000","1,371,341,000","1,373,643,000","1,417,178,000","1,494,972,000","1,309,688,000","1,201,193,000","1,063,742,000","1,000,308,000","1,059,729,000","1,184,605,000","694,241,000","480,009,000","439,725,000","409,082,000","395,046,000","260,600,000","191,200,000","136,400,000","105,700,000","75,000,000","41,100,000","26,000,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"620,883,000","792,721,000","889,750,000","512,381,000","622,512,000","550,867,000","648,216,000","630,388,000","487,536,000","530,079,000","641,875,000","357,484,000","375,640,000","374,047,000","350,672,000","354,149,000","312,723,000","302,989,000","125,705,000","-113,607,000","35,258,000","652,450,000","129,238,000","126,587,000","110,376,000","101,454,000","59,300,000","41,300,000","27,200,000","21,300,000","15,900,000","6,100,000","2,900,000"
NormalizedIncome,"620,883,000","819,664,900","889,750,000","535,059,680","622,512,000","550,867,000","669,768,080","647,527,620","487,536,000","546,643,680","648,848,319.078","385,658,755.24","354,501,842.693","383,610,132.389","354,291,401.316","361,193,943.664","320,762,338.327","317,462,363.7","173,890,732.669","5,065,800","306,952,400","228,122,215.408","129,238,000","126,587,000","113,705,432.064","113,073,600","52,676,396.207","39,586,814.815","25,515,596.33","18,590,236.686","13,672,762.646","5,580,851.064","2,540,000"
InterestIncome,"19,027,000","52,462,000","77,295,000","58,604,000","51,121,000","40,180,000","35,876,000","28,079,000","25,574,000","23,697,000","18,427,000","18,782,000","47,556,000",,,,,,,,,,,,,,,,,,,,
InterestExpense,"49,676,000","39,820,000","52,883,000","45,837,000","53,953,000","55,456,000","55,431,000","54,035,000","55,069,000","54,576,000","44,715,000","25,989,000","28,947,000",,,,,,,,,,,,,,,,,,,,
NetInterestIncome,"-30,649,000","12,642,000","24,412,000","12,767,000","-2,832,000","-15,276,000","-19,555,000","-25,956,000","-29,495,000","-30,879,000","-26,288,000","-7,207,000","18,609,000",,,,,,,,,,,,,,,,,,,,
EBIT,"773,565,000","873,804,000","1,021,215,000","796,248,000","745,033,000","692,281,000","795,507,000","763,561,000","602,075,000","651,627,000","815,795,000","447,754,000","527,131,000","424,194,000","347,767,000","416,562,000","372,040,000","334,104,000","155,669,000","-44,150,000","474,753,000","326,752,000","181,974,000","173,868,000","159,061,000","165,756,000","94,500,000","65,200,000","41,600,000","30,100,000","22,600,000","8,800,000","4,400,000"
EBITDA,"965,214,000"
ReconciledCostOfRevenue,"762,088,000","898,986,000","856,438,000","661,766,000","650,717,000","610,016,000","643,446,000","677,868,000","673,154,000","721,298,000","761,700,000","609,134,000","602,966,000","621,835,000","652,728,000","594,546,000","519,386,000","468,003,000","409,291,000","483,804,000","603,866,000","384,038,000","251,266,000","230,690,000","214,337,000","203,192,000","126,300,000","88,000,000","60,700,000","49,900,000","35,200,000","18,000,000","9,500,000"
ReconciledDepreciation,"191,649,000","157,533,000","104,360,000","96,754,000","62,626,000","68,441,000","74,914,000","75,272,000","73,560,000","72,348,000","58,892,000","65,162,000","71,517,000","71,955,000","73,924,000","69,549,000","63,566,000","71,690,000","78,840,000","117,078,000","93,451,000","44,191,000","32,112,000","32,709,000","27,997,000","22,464,000","12,200,000","10,800,000","8,600,000","5,600,000","3,100,000","1,400,000","1,200,000"
NetIncomeFromContinuingOperationNetMinorityInterest,"620,883,000","792,721,000","889,750,000","512,381,000","622,512,000","550,867,000","648,216,000","630,388,000","487,536,000","530,079,000","641,875,000","357,484,000","375,640,000","374,047,000","350,672,000","354,149,000","312,723,000","302,989,000","125,705,000","-113,607,000","35,258,000","652,450,000","129,238,000","126,587,000","110,376,000","101,454,000","59,300,000","41,300,000","27,200,000","21,300,000","15,900,000","6,100,000","2,900,000"
TotalUnusualItemsExcludingGoodwill,,"-28,362,000","0","-33,351,000","0","0","-24,491,000","-19,258,000","0","-18,612,000","-8,377,000","-33,241,000","28,034,000","-12,121,000","-4,450,000","-9,083,000","-10,297,000","-16,745,000","-65,116,000","-197,788,000","-452,824,000","670,168,000",,,"-5,000,000","-19,366,000","10,600,000","2,800,000","2,700,000","4,300,000","3,600,000","800,000","600,000"
TotalUnusualItems,,"-28,362,000","0","-33,351,000","0","0","-24,491,000","-19,258,000","0","-18,612,000","-8,377,000","-33,241,000","28,034,000","-12,121,000","-4,450,000","-9,083,000","-10,297,000","-16,745,000","-65,116,000","-197,788,000","-452,824,000","670,168,000",,,"-5,000,000","-19,366,000","10,600,000","2,800,000","2,700,000","4,300,000","3,600,000","800,000","600,000"
NormalizedEBITDA,"965,214,000","1,059,699,000","1,125,575,000","926,353,000","807,659,000","760,722,000","894,912,000","858,091,000","675,635,000","742,587,000","883,064,000","546,157,000","570,614,000","508,270,000","426,141,000","495,194,000","445,903,000","422,539,000","299,625,000","270,716,000","1,021,028,000","-299,225,000","214,086,000","206,577,000","192,058,000","207,586,000","96,100,000","73,200,000","47,500,000","31,400,000","22,100,000","9,400,000","5,000,000"
TaxRateForCalcs,"0.142","0.05","0.08","0.32","0.1","0.13","0.12","0.11","0.11","0.11","0.168","0.152","0.246","0.211","0.187","0.224","0.219","0.136","0.26","0.4","0.4","0.367","0.298","0.309","0.334","0.4","0.375","0.388","0.376","0.37","0.381","0.351","0.4"
TaxEffectOfUnusualItems,"0","-1,418,100","0","-10,672,320","0","0","-2,938,920","-2,118,380","0","-2,047,320","-1,403,680.922","-5,066,244.76","6,895,842.693","-2,557,867.611","-830,598.684","-2,038,056.336","-2,257,661.673","-2,271,636.3","-16,930,267.331","-79,115,200","-181,129,600","245,840,215.408","0","0","-1,670,567.936","-7,746,400","3,976,396.207","1,086,814.815","1,015,596.33","1,590,236.686","1,372,762.646","280,851.064","240,000"